Width	Heigh	Diameter	Season	Manufacturer
105	14	19	3	4
90	13	33	1	173
119	14	8	1	38
71	12	25	3	126
152	24	17	4	1
116	20	18	3	178
114	12	34	4	174
131	7	30	4	69
72	34	38	2	182
86	33	3	1	31
72	25	26	1	22
24	12	2	2	82
145	32	28	1	46
147	35	10	3	186
1	10	24	2	116
127	28	7	4	168
87	24	14	3	152
44	20	11	1	114
46	2	8	2	165
137	9	19	3	78
79	16	22	4	128
94	8	31	4	165
43	34	34	4	197
139	19	26	2	132
149	6	4	1	50
121	8	22	4	25
8	28	3	4	72
52	24	38	2	20
143	4	10	2	152
64	13	9	4	56
127	5	12	1	69
131	27	41	3	1
146	14	28	3	60
42	2	31	4	78
138	28	24	3	79
54	31	41	3	2
2	27	34	4	173
134	29	4	2	65
1	38	15	3	173
34	23	11	1	25
89	6	26	4	60
39	33	2	3	122
100	35	35	4	99
88	18	15	2	116
104	34	39	1	25
136	29	1	3	194
147	26	23	3	89
97	32	23	3	43
58	27	24	1	78
135	26	17	2	145
71	17	5	4	20
66	27	18	2	147
50	32	14	1	58
109	19	13	2	77
91	8	22	3	198
140	25	35	1	54
148	1	37	1	53
87	9	41	2	108
115	24	30	2	56
45	6	23	2	29
100	24	20	2	173
109	19	8	3	96
120	8	27	1	116
116	8	32	3	82
28	12	17	4	108
83	10	20	3	8
77	30	37	2	1
24	17	13	4	197
45	3	17	3	10
14	10	34	1	189
87	16	8	4	7
137	11	7	1	182
86	4	6	1	26
96	32	6	3	73
131	11	37	1	168
54	23	8	3	143
124	26	15	4	72
67	5	4	2	41
126	37	1	1	121
127	5	36	2	58
78	11	36	3	144
18	19	41	3	66
151	5	36	1	158
97	6	31	3	139
151	1	29	3	190
112	28	35	3	58
19	29	37	1	13
151	25	4	2	9
2	29	39	1	103
119	2	5	1	136
123	37	7	4	151
52	31	22	4	54
151	24	41	1	156
32	25	36	1	80
23	4	27	1	54
19	22	12	1	166
43	21	29	4	58
73	7	26	4	105
144	13	15	1	14
66	6	16	3	108
116	17	40	1	57
110	15	12	1	7
120	15	37	1	59
94	10	27	4	132
90	17	13	3	186
87	12	41	1	28
118	34	29	4	206
56	16	17	3	96
57	33	18	1	161
26	29	5	1	175
3	24	2	2	85
107	13	16	1	154
122	8	22	3	144
51	11	34	3	11
40	11	20	4	55
20	28	14	3	30
36	13	14	4	8
133	38	21	2	87
97	14	9	2	66
60	35	29	1	127
33	8	23	2	25
84	4	27	2	73
2	15	29	2	67
149	18	2	2	176
83	23	13	3	64
23	37	34	2	197
20	32	24	4	77
114	7	28	3	78
33	32	10	4	138
133	29	40	4	36
20	33	36	4	196
39	26	14	2	56
125	35	7	1	44
95	26	33	4	195
16	10	17	3	159
76	35	30	1	117
43	30	34	2	124
80	9	1	3	102
7	8	21	3	38
47	1	8	2	33
83	22	33	3	182
13	29	36	2	5
24	26	2	4	51
89	2	36	2	51
17	5	31	2	33
74	1	38	3	42
21	36	6	4	105
57	21	29	2	13
40	4	17	2	194
65	4	11	3	11
131	16	23	1	66
137	35	5	1	87
11	28	38	3	205
44	15	8	2	8
95	19	17	2	48
130	33	15	2	41
35	16	21	2	70
111	35	31	1	69
64	37	9	1	110
62	19	2	1	120
40	10	19	1	171
145	15	32	3	12
36	11	39	3	63
48	28	32	4	174
22	21	25	1	116
97	31	27	3	29
126	2	3	4	117
6	1	28	4	128
12	9	11	3	69
61	5	41	1	141
118	7	14	1	15
143	36	13	2	85
34	8	22	4	172
123	15	33	4	8
80	13	22	3	49
3	35	31	2	182
141	10	33	2	18
147	18	41	3	94
16	27	32	1	181
57	25	9	1	168
99	37	2	4	66
15	7	20	2	80
71	8	33	4	201
40	18	19	2	141
15	27	34	3	17
142	15	25	3	86
103	5	24	1	122
142	6	37	4	178
75	29	13	2	45
115	31	22	3	122
6	16	29	3	41
41	6	8	3	123
62	9	38	3	76
103	32	22	2	188
75	11	32	1	203
55	26	9	4	8
14	5	3	4	126
14	35	29	3	55
140	19	19	2	18
66	19	14	3	52
142	30	36	1	81
127	11	37	4	85
25	37	25	1	109
35	29	19	2	124
47	9	4	4	52
65	17	37	2	18
25	5	37	3	57
43	37	29	3	81
22	14	41	1	161
86	19	14	1	68
99	8	25	2	68
86	3	11	3	15
63	34	40	4	165
76	36	20	2	41
124	23	38	2	15
63	34	15	4	131
15	38	25	2	26
66	15	18	1	63
144	2	30	4	94
58	28	39	4	41
66	15	38	4	119
2	38	15	4	3
75	30	7	1	74
23	33	30	4	30
136	8	34	2	93
149	32	32	2	147
113	30	36	3	29
1	25	30	3	201
35	18	9	1	128
101	21	12	2	7
20	36	10	3	128
128	8	3	4	156
64	37	6	2	62
31	22	28	2	191
91	32	24	2	142
79	3	14	3	130
47	22	14	4	34
33	22	32	2	32
135	2	7	1	202
25	12	18	3	102
4	23	30	4	91
16	16	35	2	62
52	29	40	3	24
98	4	15	3	156
56	9	7	2	9
76	31	36	1	115
115	19	7	3	38
36	33	4	4	134
29	33	25	1	21
58	21	30	1	175
83	1	7	1	107
18	26	27	2	8
120	7	7	4	18
19	11	1	4	155
23	30	37	2	122
118	26	39	3	67
41	22	34	2	28
40	1	4	2	124
36	11	11	2	132
133	3	11	3	182
134	8	25	4	32
85	4	39	4	9
111	27	37	4	15
51	12	23	1	153
28	29	25	3	139
50	5	5	2	194
40	17	3	1	113
9	5	10	2	58
75	3	6	3	16
73	25	3	2	75
2	35	4	2	16
41	32	33	1	75
118	22	10	4	189
115	22	23	1	204
142	31	9	1	82
12	15	22	1	42
148	18	12	2	92
140	14	9	3	93
114	24	7	4	153
128	29	8	3	207
137	15	41	3	73
79	31	37	3	171
124	32	8	2	141
92	14	35	1	24
40	7	31	4	204
11	6	39	3	167
135	32	2	3	101
132	19	23	3	163
35	37	39	4	72
20	1	21	1	145
152	1	25	2	115
110	31	30	3	99
106	20	38	4	16
136	30	37	2	54
118	19	33	2	157
97	38	16	1	42
145	9	40	1	19
90	20	22	3	125
49	36	40	3	54
97	17	17	1	84
78	12	37	4	24
79	11	31	4	39
103	17	35	1	133
80	22	15	2	148
40	19	16	3	92
152	26	38	4	204
68	29	19	1	133
145	35	11	3	155
74	10	12	1	55
50	35	11	2	51
18	17	4	2	114
136	5	23	2	75
69	33	14	2	82
72	21	36	4	173
10	1	18	2	52
69	2	27	4	68
30	38	9	4	73
97	23	11	3	34
62	14	21	4	149
152	27	15	3	8
76	33	41	2	162
127	30	29	4	46
70	12	24	4	31
125	14	25	1	63
35	25	29	4	103
14	19	39	3	205
113	14	38	4	1
69	15	10	2	94
48	1	10	2	17
31	32	22	4	192
118	18	17	1	151
84	16	15	3	40
50	8	16	3	33
113	36	24	3	155
10	2	37	4	20
134	1	25	4	150
21	31	26	4	168
126	30	33	3	165
109	23	36	4	97
47	35	9	3	174
16	6	30	1	70
62	24	24	4	145
17	35	8	4	21
23	20	28	2	64
33	11	25	3	14
107	20	14	3	65
144	27	3	1	70
73	2	17	3	41
139	5	33	2	161
19	14	5	3	53
116	21	34	2	141
42	11	20	2	22
52	19	4	3	113
88	6	4	2	180
70	24	27	4	61
55	3	3	2	15
91	12	33	2	162
74	16	8	4	25
82	1	37	1	199
111	38	24	4	164
132	6	6	1	206
76	25	25	2	182
131	19	2	4	177
127	18	32	2	72
4	34	41	2	98
104	2	13	1	11
97	5	21	2	147
23	12	16	3	150
67	9	39	1	27
83	34	13	3	26
134	29	35	2	28
121	14	8	4	45
152	9	33	2	125
90	21	11	1	68
119	12	17	4	199
125	33	39	2	165
4	21	9	4	133
78	32	32	1	180
12	35	33	2	148
30	18	8	2	16
4	18	17	2	81
63	10	16	1	43
29	19	22	1	136
124	29	9	4	62
92	25	11	3	176
69	8	4	4	99
144	25	20	2	63
149	27	30	2	198
111	3	40	1	169
89	22	35	1	172
50	34	32	2	92
113	18	36	4	78
14	10	14	1	41
74	30	15	1	160
94	22	10	4	153
47	7	19	4	134
101	33	17	2	75
135	37	36	1	15
32	12	8	2	148
121	6	20	1	14
88	6	24	2	74
136	12	9	3	53
53	30	17	3	109
19	2	30	1	51
30	12	35	2	24
3	29	35	3	206
3	16	4	3	192
80	8	34	3	86
107	22	30	3	178
85	25	4	1	7
28	24	4	1	70
35	15	40	4	22
123	3	3	2	69
100	7	7	4	2
95	10	26	1	39
104	20	35	3	149
123	16	7	2	4
64	15	33	1	75
114	6	14	4	95
76	11	23	1	72
29	27	15	2	60
59	7	11	1	192
79	2	39	1	137
10	25	20	2	59
61	19	30	1	29
99	33	26	2	152
119	11	26	2	103
105	20	21	1	81
81	10	2	1	22
58	12	24	1	16
73	9	9	1	25
133	27	6	4	149
117	36	38	4	53
142	14	20	3	76
32	7	13	3	27
126	6	16	2	105
123	2	12	4	173
58	22	8	3	170
117	12	24	1	97
137	7	24	3	29
116	21	21	4	46
78	10	11	2	95
17	29	36	2	189
46	34	1	2	52
40	4	9	2	44
105	4	32	1	160
86	37	8	4	178
47	3	24	4	150
121	5	23	2	85
23	13	24	4	46
127	37	28	2	6
92	16	38	4	60
116	19	38	3	19
147	1	21	4	198
115	12	19	4	70
73	5	7	3	48
10	11	15	4	57
108	29	23	1	19
120	17	19	1	39
40	22	17	2	138
11	24	12	1	106
20	9	40	4	83
3	18	23	1	118
65	30	16	4	128
78	13	17	2	92
90	4	15	2	69
35	21	5	1	62
59	30	4	4	112
47	9	28	2	7
115	10	29	4	69
125	17	19	4	47
150	24	7	3	51
37	31	21	1	96
137	26	26	3	12
16	10	15	4	137
45	7	5	1	141
38	27	38	3	63
82	16	28	1	35
33	17	15	3	13
149	8	12	3	49
106	28	3	4	17
14	22	16	1	29
60	33	15	2	58
69	38	26	2	139
43	14	22	1	31
41	17	2	1	143
147	5	9	3	1
136	27	38	3	7
114	3	26	4	16
29	21	27	3	107
17	1	30	2	34
151	34	41	1	155
151	17	5	1	192
143	14	35	1	41
135	36	41	1	38
96	5	27	2	39
42	15	20	3	111
142	8	20	2	189
13	27	19	2	60
102	11	41	1	14
105	17	27	1	196
19	3	41	1	91
61	2	15	4	186
11	7	38	2	28
77	17	41	2	120
127	23	8	3	160
48	17	16	1	138
82	33	15	2	41
88	4	40	1	100
92	33	17	1	93
87	7	21	2	24
74	23	4	1	202
104	21	24	3	138
108	18	4	2	121
27	14	35	3	25
107	32	17	4	86
13	1	41	2	150
59	27	4	3	87
146	6	33	1	40
7	5	35	4	164
145	7	29	3	75
107	32	40	2	27
52	13	31	2	121
135	9	29	2	24
48	23	7	2	48
9	17	16	4	101
74	22	8	2	81
113	16	28	4	102
66	17	16	2	39
95	6	13	1	168
97	2	27	2	190
123	32	24	1	108
58	26	40	2	133
150	16	14	2	75
56	28	38	2	6
98	36	17	3	65
141	17	27	3	69
150	9	21	1	5
29	11	11	4	134
115	1	13	3	30
28	19	24	1	115
41	6	25	1	41
18	37	20	1	78
6	31	26	3	12
61	28	33	3	71
17	28	11	3	86
89	20	20	3	3
20	16	18	3	56
16	38	14	1	16
111	33	17	1	6
112	37	11	4	179
17	13	38	3	81
98	7	15	4	183
31	37	14	3	18
119	18	36	4	79
8	25	9	2	78
54	36	40	1	174
42	20	35	4	47
109	37	25	3	26
5	35	12	4	18
6	27	2	3	54
116	28	5	4	34
134	16	3	4	197
55	17	6	2	177
23	27	39	4	81
47	24	21	1	111
98	19	9	1	67
147	32	1	3	74
12	26	33	4	78
130	33	35	2	60
139	28	7	1	177
151	3	21	3	43
52	21	2	2	71
145	3	33	4	86
38	27	30	4	14
150	16	12	1	37
60	30	31	1	101
62	11	1	1	100
91	28	4	2	55
133	5	11	2	111
79	14	4	4	67
4	5	10	3	78
123	28	28	3	150
135	9	4	4	195
34	35	12	3	8
13	32	24	4	99
59	36	1	2	60
2	38	39	3	94
83	4	12	2	34
141	24	8	4	56
16	38	27	4	73
73	33	8	2	181
75	4	22	3	86
98	24	35	2	139
35	5	36	1	199
126	35	21	3	44
101	36	11	4	29
22	32	4	3	78
90	17	10	2	15
32	25	1	2	120
96	3	6	2	135
104	4	6	3	94
12	36	18	1	98
3	33	32	1	41
51	25	37	3	127
108	19	9	1	141
77	26	1	2	122
121	4	13	2	174
52	25	29	1	28
117	27	3	4	134
37	34	6	3	134
133	12	20	3	188
117	22	12	2	199
85	9	7	4	205
13	20	10	4	22
82	31	39	4	138
145	11	31	1	161
20	36	32	3	70
76	15	41	3	58
123	22	3	2	54
150	26	18	4	141
22	23	40	4	50
38	21	34	4	114
96	23	27	2	33
86	33	4	1	24
92	19	40	4	161
31	24	29	2	87
74	36	34	3	101
39	38	34	1	38
128	22	36	4	82
53	33	35	4	46
144	34	13	4	80
17	2	32	4	47
35	6	6	1	2
45	4	1	2	70
47	16	33	2	109
9	24	16	1	99
107	24	27	4	184
30	7	9	2	171
52	30	37	1	61
30	8	22	4	151
69	28	19	4	103
140	10	3	1	45
73	24	39	2	113
114	31	12	2	37
93	7	27	3	75
104	32	34	4	65
29	25	25	2	188
144	19	17	4	198
73	31	25	4	144
18	34	14	1	52
67	21	12	2	36
21	20	25	2	62
84	24	12	1	35
74	33	19	3	142
89	14	28	4	70
104	2	17	4	21
130	12	10	2	45
137	38	35	3	68
12	6	4	4	44
88	12	5	2	167
84	23	9	4	60
140	26	37	4	5
58	8	26	4	106
68	10	28	1	176
116	9	1	2	29
74	13	6	4	68
148	13	5	1	2
133	6	3	4	129
100	31	21	3	26
37	32	22	3	205
46	6	39	3	27
15	20	40	1	68
86	1	27	2	58
75	2	18	4	14
80	5	3	1	17
96	15	9	1	115
11	24	12	2	175
76	16	40	2	22
93	9	19	4	11
84	38	39	2	50
64	31	23	3	117
119	10	26	3	44
100	33	35	4	125
55	11	28	1	87
22	28	9	3	39
55	28	24	4	175
55	29	33	4	59
70	12	18	3	156
85	16	16	3	28
6	38	34	3	82
88	26	31	1	5
6	25	2	2	32
35	18	17	2	82
106	37	22	2	186
81	3	8	3	203
128	1	32	4	168
23	24	17	2	78
96	28	39	4	60
103	23	9	3	123
115	19	27	2	72
17	33	7	3	54
10	34	17	4	25
90	20	41	3	23
51	35	21	1	78
105	3	14	3	170
97	18	28	3	181
102	13	26	3	42
135	10	17	3	60
62	37	25	2	13
136	21	30	3	29
100	16	40	1	30
103	6	40	2	183
72	23	33	3	65
136	7	35	3	46
44	31	8	3	137
107	28	12	1	3
18	29	40	4	146
96	26	35	3	63
35	18	34	2	74
116	20	2	3	41
15	5	38	4	193
30	13	8	4	78
118	31	30	4	104
4	5	4	4	12
28	37	19	2	52
13	25	12	1	32
91	24	4	1	138
81	23	37	1	132
37	35	1	3	114
92	7	35	3	12
100	33	28	1	204
9	25	40	1	55
85	11	40	4	119
147	8	33	4	194
100	27	40	4	52
121	9	11	4	189
150	28	8	4	144
142	24	7	4	36
40	15	18	2	27
28	13	24	1	17
114	7	15	3	45
79	25	5	4	117
31	18	32	2	143
109	27	19	3	116
77	32	37	3	23
148	28	9	1	35
70	15	21	2	5
117	3	30	2	83
31	22	6	2	83
110	8	24	3	19
147	26	26	4	182
34	35	16	4	49
6	29	21	4	21
134	24	3	1	59
54	11	9	1	42
131	22	21	2	126
20	9	4	1	49
11	7	9	4	42
35	31	1	3	186
15	6	26	1	83
126	10	8	3	183
129	35	19	4	137
33	17	12	4	48
36	12	29	3	46
55	20	9	2	21
95	3	17	3	68
9	15	25	2	137
141	16	21	2	54
63	30	31	1	53
120	37	14	2	49
132	25	22	2	57
98	30	13	1	107
41	4	17	1	18
121	17	39	4	50
103	15	21	3	51
30	11	21	3	39
136	11	19	4	43
123	5	6	2	3
54	5	21	2	56
73	17	39	4	33
132	14	22	3	185
104	36	23	4	12
38	20	7	4	192
57	17	36	3	71
41	19	5	3	42
57	29	29	2	80
107	18	27	2	140
71	5	36	1	125
51	10	28	4	193
125	30	26	1	187
133	16	21	3	196
83	30	20	2	198
126	8	3	1	173
15	23	40	2	64
122	22	14	2	180
107	37	37	3	134
40	29	39	3	203
47	31	34	3	85
110	16	23	1	78
8	4	21	3	195
33	16	18	4	134
12	24	22	4	30
23	7	26	3	14
68	38	6	2	127
113	26	28	2	69
5	27	25	1	4
147	35	27	2	160
49	12	33	4	145
59	20	2	2	58
150	22	37	2	96
41	22	40	1	88
23	28	11	3	83
143	31	14	4	1
112	20	22	1	71
81	14	15	3	41
151	28	12	1	80
8	22	10	4	42
54	24	9	3	22
126	19	27	1	114
124	22	6	4	168
131	23	37	2	70
103	31	18	3	9
127	38	35	2	174
10	30	7	2	58
16	1	19	3	56
83	6	33	4	16
80	16	39	3	191
100	38	13	1	55
106	34	22	2	6
137	7	30	2	202
15	32	41	2	32
131	34	4	4	14
130	34	6	4	173
125	3	30	1	33
44	9	32	1	186
9	38	32	1	141
111	6	41	3	131
112	14	21	2	184
117	7	40	4	11
41	8	25	4	14
118	20	17	3	8
23	20	4	3	189
24	1	34	1	43
151	26	33	3	92
70	29	37	3	169
90	10	36	2	110
99	8	3	1	76
126	13	26	4	150
63	4	5	4	115
5	28	39	2	38
75	37	10	1	99
137	4	7	1	83
106	7	26	3	98
68	37	8	4	31
9	26	30	3	16
68	6	1	2	45
145	1	8	3	4
60	17	31	2	10
101	16	32	1	187
83	31	15	1	52
70	20	18	2	173
133	6	9	1	194
38	23	2	3	9
100	29	26	3	184
143	5	25	2	176
4	38	38	3	134
41	36	10	4	82
81	35	1	4	201
151	19	10	4	139
126	26	11	4	160
117	29	20	2	174
72	32	4	4	19
58	20	18	4	176
35	10	16	3	51
59	19	9	3	100
126	26	24	1	81
107	7	9	1	15
50	12	6	4	182
97	2	34	2	55
132	18	32	3	162
117	7	9	3	167
60	14	24	3	82
85	27	21	1	22
130	21	28	2	157
134	20	21	2	206
121	21	30	4	29
16	4	5	1	98
40	17	31	1	20
118	8	1	3	108
22	31	16	4	68
58	2	1	4	140
23	2	21	2	37
62	7	3	1	8
81	16	3	4	52
81	38	36	1	107
14	6	25	2	165
81	28	34	2	26
79	6	21	3	58
36	33	37	4	7
89	31	26	3	188
67	18	2	3	138
45	14	36	3	90
30	36	1	3	89
135	6	40	3	120
75	31	8	2	174
120	27	37	4	120
125	24	25	3	141
149	17	24	3	173
105	38	14	1	145
51	5	31	2	25
98	2	37	2	40
122	34	23	3	99
18	16	26	1	46
152	26	16	2	120
38	15	17	1	133
130	33	13	2	63
114	23	1	1	55
120	33	3	4	56
40	7	11	1	66
114	36	37	2	104
76	37	17	2	39
29	15	5	4	71
119	2	35	2	189
112	9	25	3	166
70	19	29	4	89
122	25	8	1	149
140	34	3	1	192
61	26	21	2	79
118	11	21	1	24
58	7	31	4	65
77	4	7	3	4
34	36	36	4	186
37	10	5	2	1
6	14	39	1	155
119	29	22	1	34
45	10	21	1	39
21	32	2	4	61
47	1	13	4	90
64	26	35	1	87
22	15	31	1	199
136	7	19	4	160
7	22	2	1	169
131	14	17	3	121
57	21	22	3	206
34	3	11	1	70
107	19	36	4	8
142	29	29	3	193
122	18	10	1	179
38	13	41	1	70
51	25	18	1	30
106	34	8	4	193
146	5	17	3	6
7	16	22	3	21
34	33	37	3	183
113	22	32	1	22
27	30	33	4	57
9	36	7	2	37
71	19	28	2	202
90	13	12	2	79
58	13	22	1	6
4	20	33	1	119
68	25	4	1	97
152	6	23	2	186
95	24	7	2	154
54	36	13	2	20
49	33	32	2	193
18	7	31	3	15
85	14	33	4	69
136	38	8	2	124
51	21	24	3	184
41	24	24	4	206
3	8	15	1	190
73	7	1	2	44
39	33	38	3	157
152	21	9	1	150
47	30	31	1	87
114	11	13	1	40
141	13	26	2	136
101	4	5	2	138
14	19	3	3	40
116	13	31	1	152
44	24	10	2	68
17	3	3	1	159
83	27	35	4	145
130	3	37	3	206
96	32	31	2	181
104	4	18	2	52
97	8	8	4	15
126	22	36	4	68
143	11	30	4	122
62	29	38	1	161
62	38	10	2	48
79	19	35	2	35
149	4	20	3	145
3	18	17	2	29
81	6	23	3	91
25	17	14	4	83
118	6	19	1	192
31	30	10	2	147
78	33	25	3	83
112	18	26	4	91
58	38	30	4	35
148	22	12	4	74
100	29	3	2	33
93	36	26	4	174
16	17	33	1	55
129	16	25	4	89
68	28	35	3	58
2	34	36	2	55
42	28	3	2	193
123	30	16	4	31
102	10	22	1	41
51	6	14	1	28
7	2	3	2	28
101	26	23	3	103
72	14	22	2	68
126	37	18	1	41
143	30	35	3	7
8	2	21	1	189
42	8	23	4	73
144	25	1	3	81
76	31	22	3	29
87	4	24	1	200
53	16	36	1	67
90	35	5	4	46
143	28	29	2	59
141	15	24	1	55
124	10	40	3	106
43	5	15	1	28
118	30	1	2	76
130	15	6	4	107
112	8	10	1	115
74	30	36	3	4
135	21	16	3	46
32	17	39	1	8
67	1	24	3	205
42	32	12	3	43
25	23	17	1	106
20	33	41	3	75
100	34	34	1	11
71	33	20	4	168
84	21	2	2	202
27	28	35	3	49
78	15	26	4	202
102	22	32	3	197
44	12	21	4	202
114	7	22	2	32
73	21	41	2	55
78	38	38	4	68
68	27	35	1	174
49	10	4	3	153
79	19	3	3	152
72	1	21	1	73
97	2	11	3	199
28	15	6	4	132
89	33	18	1	159
5	18	39	3	133
48	33	40	2	207
103	31	6	4	46
88	13	10	2	176
111	27	11	2	13
146	19	14	4	189
26	23	29	1	188
15	11	23	3	22
44	9	13	2	120
113	9	31	1	74
13	6	15	3	21
67	7	33	4	66
102	23	18	4	205
49	33	21	1	33
92	12	30	2	66
42	32	13	3	109
107	6	14	4	47
115	38	2	3	105
36	24	25	4	45
58	32	30	2	146
21	2	4	1	46
86	2	1	4	127
86	20	29	1	86
140	32	1	3	157
139	22	16	2	155
38	22	24	4	75
103	35	38	2	79
31	25	7	3	127
129	29	13	4	82
151	16	20	2	118
4	34	29	1	140
5	11	26	2	158
148	32	19	4	4
134	22	2	2	38
125	17	26	3	109
55	23	21	1	135
88	30	5	3	185
68	35	21	1	94
27	35	37	4	179
151	19	26	4	18
44	36	5	2	157
112	9	32	4	18
35	30	36	2	138
131	20	41	3	110
99	7	12	4	9
89	34	7	1	184
136	2	30	4	138
29	27	41	4	123
101	36	34	4	144
138	7	32	3	95
4	3	13	3	4
139	17	5	3	203
116	8	38	1	55
12	6	32	4	133
102	16	3	1	68
118	18	19	1	46
89	15	36	3	25
116	13	38	3	172
101	13	20	4	200
144	13	8	1	88
7	31	36	1	24
43	1	14	1	77
135	23	39	2	5
77	35	8	1	8
119	14	38	4	165
47	33	39	1	117
99	35	25	4	41
12	8	4	3	4
3	8	2	4	134
90	18	16	4	70
54	8	39	2	132
105	23	28	3	32
131	30	34	2	68
21	3	26	4	112
29	17	15	2	27
115	37	6	3	59
110	11	11	3	175
85	29	31	4	55
106	24	30	4	173
51	20	5	2	154
48	3	3	1	200
114	14	10	1	204
104	31	38	3	152
57	15	35	3	140
120	16	1	4	141
21	20	10	2	174
127	27	1	2	205
23	33	39	4	199
65	11	7	1	95
39	4	3	4	54
41	33	33	2	121
14	26	33	3	91
15	3	39	4	31
45	14	16	1	167
17	35	13	2	72
141	9	19	2	26
109	19	25	3	4
71	19	38	1	114
40	16	29	2	179
1	33	36	2	155
128	18	18	4	174
107	6	30	3	67
6	31	32	4	196
68	8	37	4	192
108	23	19	2	89
58	1	15	4	8
110	17	5	3	81
3	37	33	4	104
4	7	27	1	168
49	19	17	2	80
69	27	2	1	201
142	2	10	3	131
113	1	22	3	20
19	5	19	3	94
129	16	25	2	74
55	31	40	3	192
49	30	5	3	129
125	15	10	2	24
79	14	28	4	23
125	37	23	1	86
99	23	7	4	14
6	13	5	4	109
41	25	19	1	35
47	12	33	4	54
25	35	40	1	132
84	37	28	2	27
141	29	10	1	137
101	36	6	2	3
86	21	19	2	5
2	4	19	4	35
18	3	35	2	70
101	12	38	2	48
65	25	16	3	47
73	11	23	4	70
123	31	12	1	135
97	37	25	4	185
28	25	32	3	116
77	18	15	3	103
82	33	34	2	78
96	3	13	2	185
27	10	20	3	138
114	26	5	1	31
151	24	35	4	124
122	23	4	4	11
132	28	10	4	171
13	35	25	4	199
38	10	12	3	162
140	17	18	4	137
117	9	26	2	18
131	3	32	4	105
87	23	29	1	183
15	33	6	2	124
126	11	17	1	102
49	26	14	2	99
111	25	20	1	7
80	19	15	4	11
25	14	35	2	207
132	18	9	4	27
4	31	1	3	138
31	24	27	3	23
26	20	31	2	126
74	34	18	3	182
66	37	20	3	83
106	18	24	1	112
40	13	7	3	126
11	35	4	3	86
130	34	23	4	49
74	21	9	2	15
113	22	39	1	42
82	37	13	4	164
69	9	20	1	72
70	25	20	2	39
4	32	20	3	149
40	17	17	1	76
92	22	4	1	76
33	21	24	2	121
75	37	33	3	46
149	2	29	3	12
40	6	15	2	65
28	30	13	3	188
27	32	35	4	136
18	37	41	3	12
100	20	28	4	76
117	16	5	4	94
78	13	16	1	134
61	13	36	3	15
48	31	21	2	71
97	22	36	4	39
146	16	21	3	45
10	3	24	1	23
46	20	18	3	30
100	7	23	3	129
29	20	35	2	95
132	33	8	4	70
147	34	38	2	141
42	16	27	4	61
74	25	31	2	47
24	30	23	3	200
90	17	26	3	93
15	23	23	4	69
120	5	34	4	170
73	3	12	4	39
47	36	14	3	147
84	12	27	2	57
32	1	28	2	77
137	27	10	3	33
35	20	10	4	187
23	13	31	2	59
21	17	33	2	153
99	26	4	4	71
86	35	39	2	13
118	16	24	1	57
10	24	10	1	8
52	2	3	1	143
86	24	40	2	102
44	37	5	2	169
99	22	23	1	49
108	16	21	3	83
44	12	30	1	21
96	9	12	3	138
39	31	3	4	58
141	32	37	4	167
82	32	17	2	196
125	5	16	2	84
5	1	21	2	167
22	11	10	1	205
31	3	20	2	82
11	1	1	4	27
107	35	33	1	24
97	37	10	3	136
26	17	22	2	50
69	26	9	4	25
74	2	30	1	183
79	9	22	4	79
46	8	9	4	121
34	10	2	3	21
133	28	16	2	122
9	8	36	4	144
18	25	41	1	129
29	31	25	2	132
70	15	40	2	26
65	28	30	3	29
41	35	11	4	4
98	10	6	1	174
17	35	19	3	164
61	25	13	1	108
151	19	31	1	84
78	4	22	4	35
66	28	27	3	167
57	36	36	2	54
144	24	21	3	148
10	7	14	3	80
101	13	14	1	18
31	16	13	2	16
74	36	9	2	53
118	13	20	1	190
84	16	33	2	198
55	14	17	3	178
134	23	39	2	175
135	36	31	2	198
12	17	19	4	79
148	2	10	1	181
39	22	11	3	36
106	8	22	2	100
131	17	8	2	171
38	6	22	2	97
85	6	21	3	176
50	17	3	3	7
6	24	15	3	91
21	8	27	3	85
78	17	25	1	31
4	33	13	3	74
137	3	23	2	56
57	10	16	3	192
29	22	8	4	94
46	34	30	4	94
37	37	17	2	135
119	38	27	2	23
62	25	7	2	158
144	20	31	1	58
79	2	7	3	100
123	18	37	4	29
102	33	33	2	89
129	38	2	2	45
91	3	3	3	78
72	1	10	3	16
34	16	13	1	61
14	24	28	1	168
145	35	35	2	38
68	5	29	3	64
18	25	36	1	152
69	36	22	4	5
73	11	23	3	47
3	30	26	2	55
23	37	26	1	44
112	29	11	2	65
61	6	30	1	6
91	1	9	1	28
47	9	16	3	8
122	17	39	1	181
34	33	19	3	41
112	17	12	4	114
151	22	21	3	68
41	14	39	4	188
92	22	26	1	40
13	17	4	3	80
96	24	36	4	117
75	2	30	1	172
64	15	39	2	71
110	12	12	4	152
22	10	21	3	25
37	9	24	2	20
31	10	22	2	56
128	31	40	3	144
118	4	19	2	84
23	31	20	2	47
22	7	34	1	35
30	13	27	3	156
19	36	20	4	139
102	36	41	3	58
77	18	19	4	184
13	30	17	4	52
72	4	9	2	26
96	35	4	4	94
32	3	27	2	43
18	22	4	1	53
116	23	29	2	52
63	31	15	4	84
29	28	4	1	149
78	17	38	3	125
67	33	8	2	52
40	10	28	2	57
60	18	38	2	135
64	16	26	4	115
37	38	3	3	64
15	3	35	4	9
33	29	20	4	10
48	6	3	2	158
103	2	40	4	68
139	30	37	3	60
