Width	Diameter	Pcd	Et	Dia	Manufacturer
12	2	14	19	11	36
16	13	19	103	13	77
22	12	12	57	30	53
26	16	36	64	46	58
8	10	16	4	76	57
15	9	9	24	53	47
11	7	33	43	5	70
19	11	22	97	34	41
10	6	40	72	91	33
20	10	1	35	95	3
26	5	29	2	56	5
20	17	26	1	83	1
17	18	2	36	23	28
19	16	24	51	46	36
3	9	7	104	82	12
4	11	33	1	87	4
3	14	42	91	75	52
10	2	3	17	90	56
2	7	18	32	41	16
4	1	3	30	48	10
14	10	2	16	44	21
3	5	12	53	8	75
4	2	41	41	40	60
4	5	7	72	45	19
13	7	26	21	100	20
7	8	37	104	31	49
6	16	32	33	23	50
5	6	23	106	58	31
7	10	29	32	60	63
16	14	36	26	33	44
12	13	4	16	76	71
5	4	13	41	63	34
14	18	10	42	23	32
19	14	35	110	100	57
7	13	21	25	99	69
25	7	31	44	95	11
12	5	14	40	6	55
21	13	18	36	73	48
6	16	3	48	86	17
20	8	4	108	5	30
1	8	19	92	80	37
8	7	41	9	12	24
9	17	1	94	4	73
13	16	9	71	99	25
11	1	1	3	96	46
4	6	11	82	22	7
3	4	39	62	26	72
16	4	26	38	64	40
23	16	40	57	99	22
14	7	43	101	30	64
18	5	28	61	44	56
26	9	27	46	69	72
18	16	6	5	13	27
2	8	22	26	36	68
26	16	7	43	3	39
8	7	16	91	60	25
25	2	29	113	84	61
24	3	32	70	46	9
3	17	3	70	101	77
12	6	19	81	7	45
15	2	37	99	99	29
28	18	20	3	102	55
5	15	32	111	59	74
4	11	6	48	10	41
1	18	10	55	82	41
6	11	4	89	28	67
2	18	21	58	82	52
22	17	19	79	58	67
27	8	3	98	64	61
12	9	30	88	58	33
7	5	26	66	12	42
12	6	2	21	17	47
22	12	13	29	35	10
19	18	35	62	64	54
21	15	9	47	14	16
12	10	31	27	71	8
24	11	35	25	72	26
13	3	2	7	31	72
13	10	7	8	14	22
7	1	8	99	91	48
10	19	13	46	43	56
3	12	22	26	60	24
25	9	24	12	8	38
28	15	11	97	41	39
15	4	14	47	25	13
7	6	33	30	56	74
20	12	27	39	34	73
12	4	11	112	9	67
1	19	15	18	26	65
9	5	27	9	43	64
6	1	16	16	32	75
3	10	42	95	93	17
3	2	5	26	73	40
18	7	28	75	77	44
20	12	13	18	94	66
12	1	43	76	25	1
15	6	32	18	21	78
23	16	32	107	74	15
23	15	29	66	55	69
13	1	33	93	16	30
9	12	35	3	42	3
7	7	1	57	100	51
9	2	32	4	16	14
2	5	18	6	65	25
10	17	16	81	39	27
26	1	30	96	7	19
18	14	5	86	11	34
10	1	31	66	13	57
15	16	5	81	14	49
14	11	26	51	82	6
11	3	18	25	38	35
15	16	42	63	24	59
12	12	28	10	50	21
15	15	42	81	72	7
15	10	17	20	55	63
6	11	37	56	8	2
13	3	28	58	104	37
21	19	39	69	87	45
18	10	40	55	4	12
5	13	15	85	27	76
9	8	7	4	24	76
8	19	39	2	44	23
19	16	21	32	19	35
21	1	34	70	12	18
10	15	24	14	71	70
20	7	3	29	7	46
17	16	21	96	92	43
19	13	14	90	62	58
24	10	6	9	93	72
14	13	36	53	78	55
15	10	9	23	61	4
1	10	7	46	10	58
7	4	40	71	66	68
11	18	34	86	58	22
18	19	18	78	24	53
11	3	33	41	92	31
10	13	1	106	20	36
5	4	3	1	11	76
21	6	21	106	2	32
27	7	11	69	34	50
7	9	38	65	65	77
7	8	11	44	44	20
2	13	42	16	40	45
9	4	2	96	26	41
8	5	7	53	18	2
9	8	41	12	80	54
15	3	1	4	10	13
17	10	10	66	87	70
6	17	10	58	105	30
11	8	9	40	62	11
25	6	28	40	10	50
25	15	33	19	24	25
13	15	25	76	29	69
16	5	15	98	71	40
9	12	27	101	89	56
1	15	30	101	62	66
27	16	12	104	44	26
16	13	11	36	68	44
16	5	24	4	79	72
22	1	6	34	104	64
5	2	34	66	97	12
14	9	24	21	19	51
13	19	29	98	63	76
2	4	6	91	83	38
26	10	13	48	8	55
24	5	29	29	49	57
1	17	13	105	56	28
11	19	27	71	16	33
28	13	31	19	103	45
20	17	20	74	25	76
20	17	10	28	25	10
8	2	40	58	20	63
27	3	21	4	9	17
18	7	10	15	15	3
20	16	25	84	9	57
28	6	8	50	76	16
10	6	21	88	10	34
1	19	39	17	57	9
27	4	17	5	7	5
13	4	11	104	95	75
23	14	24	42	60	59
18	11	38	10	49	48
14	14	12	55	50	31
1	19	41	72	31	7
7	4	36	45	17	61
28	2	42	71	43	78
26	4	20	84	85	52
23	6	13	113	66	4
23	5	6	70	33	62
22	10	43	110	38	36
21	1	5	103	44	65
21	8	17	55	85	37
19	19	15	112	24	73
21	12	37	88	75	46
23	7	34	58	40	68
24	3	41	23	50	23
22	14	33	9	40	58
21	4	4	14	83	7
15	2	14	17	9	32
25	8	34	3	50	15
16	13	12	88	39	13
11	7	40	19	23	14
14	14	12	21	48	14
20	11	17	46	74	60
10	19	43	31	58	20
27	9	6	94	82	24
17	11	34	13	6	73
26	7	19	91	89	42
18	5	3	77	38	39
26	10	6	66	20	71
7	9	32	103	16	35
3	8	37	59	20	67
24	5	2	88	91	24
23	3	13	38	42	49
7	13	14	5	8	21
2	3	9	29	91	2
21	11	13	54	31	43
18	14	18	2	94	17
2	9	28	81	15	41
6	6	30	8	97	60
1	16	37	85	32	29
14	3	29	12	70	74
13	6	6	11	37	19
22	6	30	20	89	53
20	2	7	81	35	67
5	16	15	76	50	27
18	14	24	24	102	8
16	3	40	70	5	23
3	5	32	43	68	22
15	1	12	8	37	72
12	17	18	20	74	66
8	3	23	43	26	58
4	3	28	76	4	26
16	16	28	67	54	24
4	17	35	20	8	9
12	3	18	72	46	54
22	5	20	62	103	5
22	1	2	64	97	45
2	3	8	25	85	49
22	13	39	78	10	38
3	2	39	71	14	66
16	10	33	109	50	8
28	17	21	79	65	12
21	5	33	72	30	24
27	8	35	49	62	69
11	9	3	89	72	68
4	5	37	106	62	64
12	16	37	3	55	61
24	11	43	97	23	29
2	3	3	97	16	60
14	3	8	13	69	63
13	6	43	43	56	54
9	12	22	85	53	51
8	13	16	99	61	1
12	4	43	93	4	27
8	4	30	35	81	32
27	9	11	45	4	17
28	7	15	103	74	19
15	19	41	83	96	32
18	14	26	79	39	48
17	17	31	94	27	7
19	8	28	23	26	36
9	18	26	111	23	76
5	12	14	50	71	44
11	17	41	48	3	62
19	12	29	81	4	28
8	9	29	4	57	25
17	8	40	8	8	64
21	1	12	106	3	28
28	11	10	85	62	4
15	16	8	72	65	67
22	7	41	98	83	2
12	6	12	81	24	10
21	9	25	112	22	15
16	9	21	85	59	46
28	3	13	62	51	61
26	14	6	15	23	56
4	10	25	51	69	20
20	15	26	33	101	11
14	14	36	15	64	16
5	6	36	108	65	57
3	14	1	12	60	55
23	5	36	86	36	73
23	1	16	74	91	42
7	1	27	34	70	43
7	19	17	105	62	34
28	3	42	47	71	30
3	19	19	101	4	47
5	5	40	13	25	53
22	3	39	35	66	48
10	12	4	32	13	71
18	14	11	51	28	65
10	14	19	24	59	24
18	18	42	67	104	77
28	7	16	104	55	74
28	11	43	4	34	37
12	14	14	18	37	14
11	19	11	13	9	24
18	19	30	83	34	52
14	18	33	75	6	13
8	7	3	6	67	18
5	4	22	38	95	73
16	8	19	26	8	59
15	3	8	29	27	6
23	2	2	75	72	39
24	13	37	68	37	30
8	11	8	80	101	3
1	7	6	22	4	57
3	10	38	20	67	20
21	1	20	94	77	78
13	8	10	110	46	70
10	19	39	64	11	70
10	10	8	36	32	76
26	16	42	52	16	40
7	11	7	89	43	13
8	12	35	65	9	50
19	7	13	60	25	33
23	11	15	108	69	21
3	19	16	90	74	40
21	18	32	97	57	40
16	1	43	50	66	71
11	16	21	78	45	35
12	16	9	59	52	40
23	8	41	93	5	31
16	6	40	94	7	35
14	13	25	69	8	34
27	4	17	79	28	35
18	16	40	103	54	6
8	8	12	25	79	61
6	5	8	87	8	78
21	14	42	10	8	71
18	4	40	12	85	19
27	15	38	94	24	5
19	2	18	106	19	47
13	3	36	61	23	67
24	17	19	67	101	66
8	12	15	55	40	2
24	13	1	20	26	48
11	9	32	97	85	10
12	18	39	87	44	12
13	8	43	96	2	38
12	7	35	37	86	41
15	18	1	52	86	53
1	8	12	50	29	46
7	2	13	47	78	26
2	5	1	113	60	54
3	10	15	68	31	77
20	16	41	62	69	17
20	16	23	59	50	65
28	19	21	70	96	58
18	7	38	72	89	62
1	12	24	14	10	23
7	5	27	108	63	42
3	4	13	110	36	51
9	6	22	22	41	72
26	13	38	108	56	32
16	16	7	5	57	49
9	12	31	62	37	70
12	6	23	99	56	14
6	16	33	84	62	41
28	15	15	91	76	67
25	7	30	42	92	29
21	17	26	3	47	22
8	15	31	83	47	43
20	19	5	8	66	21
7	17	39	102	96	28
21	19	4	18	1	8
18	1	2	76	80	33
25	6	26	76	11	39
28	7	12	13	17	68
14	18	25	93	24	70
27	16	7	95	50	7
17	2	12	33	88	57
9	12	9	43	65	26
25	6	43	65	40	37
2	9	8	35	96	39
22	15	25	52	46	4
21	16	25	2	104	72
9	9	34	8	78	76
10	5	39	112	2	27
14	5	3	50	42	1
6	4	7	38	62	44
22	18	23	89	22	74
27	6	25	9	18	13
17	14	19	35	57	69
3	13	24	34	94	20
28	13	4	99	11	45
16	6	16	29	58	30
12	10	5	34	37	48
5	1	18	79	82	40
15	7	4	53	30	25
28	5	3	110	20	50
6	3	12	46	33	24
3	9	41	52	39	75
23	8	38	64	45	53
1	12	18	41	91	63
16	8	15	33	78	34
10	14	1	85	30	11
10	5	37	67	83	52
9	15	11	85	36	49
14	12	26	103	45	3
21	4	20	94	26	18
11	16	29	79	77	64
2	17	17	31	59	51
2	3	2	90	6	30
26	6	7	106	42	4
12	16	5	3	1	60
18	16	16	13	35	16
20	5	43	107	20	56
17	7	22	42	37	55
3	5	7	69	96	37
11	14	22	63	29	36
26	17	31	17	4	15
12	14	14	68	35	52
19	16	33	11	84	45
26	9	29	110	75	55
5	16	35	55	20	9
24	1	7	112	58	1
13	6	2	38	20	3
15	17	29	93	82	44
1	11	31	86	42	15
28	1	15	88	59	47
15	16	24	46	92	48
27	17	15	61	8	50
26	14	19	28	2	15
25	15	26	16	99	9
23	7	28	70	35	35
26	13	20	38	5	59
26	11	25	21	84	3
26	9	39	88	41	29
2	19	8	61	50	59
27	10	23	86	24	13
1	15	4	17	75	4
14	2	38	52	20	44
26	8	2	32	49	9
17	4	21	84	56	75
23	15	6	88	11	15
13	2	31	18	35	77
1	8	17	28	71	58
8	5	4	102	25	64
21	8	25	45	95	51
20	18	37	23	33	6
10	11	9	53	37	13
20	12	26	26	18	38
18	14	29	45	105	55
23	8	28	53	76	12
11	16	29	58	14	35
14	13	3	84	96	12
11	1	23	1	60	20
19	1	2	101	66	74
12	7	20	55	19	32
13	6	5	112	47	13
5	12	15	92	19	25
14	8	17	95	65	73
12	16	42	96	3	27
19	7	27	22	53	10
11	1	2	88	71	75
12	14	35	14	34	1
11	13	33	49	70	56
10	15	30	72	1	35
23	19	19	36	33	36
22	13	21	110	13	41
23	13	32	86	61	21
6	8	31	55	10	67
19	2	12	75	20	31
11	4	25	95	34	66
1	18	8	30	44	18
26	11	34	27	22	65
7	16	8	20	40	14
22	16	41	19	62	46
20	19	39	56	80	44
6	6	14	103	46	62
18	5	9	5	36	39
3	19	10	99	1	71
27	16	5	2	50	14
10	7	30	76	36	63
5	15	19	77	67	44
16	2	36	40	57	46
26	7	3	76	57	53
5	5	32	30	36	19
10	3	25	26	66	3
26	4	43	68	96	24
26	2	21	86	46	18
3	19	32	51	41	42
4	16	18	14	72	76
21	16	26	50	58	34
20	1	28	26	40	70
23	9	39	77	6	5
14	15	40	82	101	55
2	15	37	108	1	59
18	19	28	14	91	17
24	7	10	31	24	48
3	9	16	22	45	43
22	15	5	17	79	16
12	1	40	82	69	37
10	19	39	111	9	8
17	8	2	91	88	47
28	6	39	33	92	35
1	6	36	65	47	6
17	8	30	98	26	27
18	11	15	52	90	3
25	4	35	57	43	50
24	4	13	17	73	78
15	9	38	50	38	52
6	18	34	65	37	53
18	5	34	80	7	31
28	6	2	43	93	52
7	9	11	28	7	30
22	3	43	63	76	78
21	19	19	9	25	7
27	18	34	6	43	7
2	14	10	57	82	23
21	1	39	70	62	68
5	13	37	76	79	55
21	5	12	101	69	69
3	4	35	98	78	22
13	4	14	52	103	72
26	12	3	55	13	68
22	1	5	80	71	61
20	2	43	10	84	35
6	11	40	79	83	11
15	1	36	102	101	45
4	5	26	42	44	39
20	11	38	85	96	47
26	13	3	93	69	68
14	17	23	103	104	33
9	19	12	84	77	68
5	10	36	34	89	68
14	11	1	21	57	71
18	9	13	95	55	31
24	7	27	11	56	52
21	15	3	11	81	51
17	6	38	70	58	57
2	11	16	27	97	71
12	16	20	31	27	53
25	13	35	80	77	49
19	9	31	113	91	22
4	11	25	16	64	50
13	1	25	75	67	78
21	2	23	85	65	22
10	19	8	60	2	68
17	2	36	106	21	60
27	13	12	22	42	45
7	18	22	20	39	15
4	11	8	1	14	70
16	18	3	78	35	57
10	11	8	91	81	26
23	8	25	61	93	54
14	4	5	41	44	54
16	7	28	66	60	39
13	6	21	53	24	51
3	18	17	35	94	57
26	16	11	23	8	68
21	18	6	73	69	61
15	17	32	44	10	57
25	14	39	66	89	61
23	5	26	32	28	43
27	4	28	92	23	2
3	3	18	81	102	4
17	14	17	69	58	49
21	5	5	44	9	2
25	17	28	15	12	28
12	4	36	84	13	4
17	3	17	102	52	74
9	5	32	71	6	27
6	15	21	66	48	47
2	6	14	73	74	45
13	10	4	9	27	63
15	2	25	39	28	59
9	10	15	100	86	70
9	13	14	64	95	7
20	5	33	5	75	66
10	4	9	92	74	36
17	18	2	50	50	53
13	9	16	108	78	56
16	12	17	15	37	54
11	4	32	32	15	75
11	7	22	39	38	53
9	12	6	19	27	10
13	11	27	79	8	63
5	14	20	23	1	73
6	19	42	4	92	64
27	18	43	32	10	6
4	15	3	53	66	52
19	16	25	82	40	28
9	5	21	11	66	61
2	9	8	37	39	40
15	17	16	99	98	21
5	19	5	45	40	13
2	4	17	77	53	2
6	3	26	49	72	59
22	3	14	108	10	15
1	15	40	26	78	67
2	8	5	95	5	57
22	10	14	110	2	25
15	2	28	6	100	8
20	3	5	12	10	69
7	14	14	64	68	18
27	19	43	108	68	13
2	12	31	46	100	32
2	14	37	110	14	72
1	2	4	90	3	68
3	16	27	79	103	24
12	7	22	77	93	37
2	8	35	107	28	63
15	17	6	37	77	9
4	7	43	83	70	17
10	3	30	27	73	15
20	9	5	5	72	42
20	9	6	89	55	48
2	1	14	14	25	34
10	15	30	106	104	23
15	13	22	9	98	39
26	13	17	10	45	38
25	14	33	50	73	62
1	12	16	91	53	50
11	13	36	27	8	47
4	17	28	104	68	67
27	5	27	14	87	47
15	13	17	51	105	14
8	8	6	69	48	11
18	3	28	43	74	38
9	9	11	66	46	60
1	15	34	89	19	58
3	17	42	82	19	20
18	2	36	9	74	71
5	10	27	13	86	60
25	14	41	67	72	3
19	7	18	46	7	33
23	10	1	9	79	29
12	14	12	36	67	30
1	14	32	39	30	22
15	19	18	75	39	77
23	9	41	35	102	65
9	13	22	102	28	12
19	18	27	55	54	35
28	16	10	54	20	77
25	3	15	12	55	7
26	11	10	70	52	20
15	9	35	40	69	76
1	10	17	73	77	57
6	3	24	59	49	78
2	3	6	79	50	57
23	8	2	88	27	1
22	16	33	32	91	44
11	5	42	30	18	57
5	7	18	59	105	75
8	2	28	63	59	16
13	3	7	82	105	66
28	15	4	98	22	5
4	15	3	9	60	48
9	15	18	80	3	19
25	6	38	83	101	12
3	2	16	6	90	4
27	16	18	56	10	48
4	15	7	88	36	10
26	16	17	72	100	76
17	4	32	47	24	77
11	10	34	57	79	57
17	10	10	64	28	55
23	7	25	20	1	25
24	17	16	41	96	26
4	7	3	100	2	51
28	8	6	12	58	32
20	16	6	56	49	31
5	5	1	91	93	76
9	2	2	109	85	67
6	13	33	39	79	26
19	16	33	34	46	46
23	15	4	105	40	46
10	8	33	80	96	35
3	14	30	94	87	67
13	3	4	46	71	77
28	7	31	105	19	63
2	17	6	100	78	16
7	5	23	68	1	20
13	11	28	31	8	57
12	9	22	98	32	20
22	1	1	102	16	41
7	5	8	33	54	76
5	1	17	88	21	22
26	2	37	5	47	41
27	3	29	43	61	49
18	15	18	38	54	48
25	18	13	9	48	51
16	19	20	25	50	22
22	2	16	101	16	77
16	18	9	12	105	60
20	18	25	103	27	12
7	18	6	101	36	4
20	13	2	12	69	48
21	9	33	68	7	12
6	15	1	59	5	37
28	18	15	40	85	63
28	7	23	101	44	38
4	2	7	91	95	16
8	19	25	99	21	76
22	11	36	108	95	12
13	7	39	68	24	54
2	7	30	4	74	16
6	14	32	89	91	76
3	12	36	29	84	51
25	9	16	107	54	34
8	17	20	46	52	68
7	4	11	98	14	32
10	10	3	38	79	47
18	18	12	85	81	41
22	19	11	83	43	63
11	7	27	53	56	6
23	1	27	112	57	44
9	16	37	83	19	49
18	19	31	20	49	64
3	5	42	43	20	17
14	2	15	86	37	23
23	1	34	40	35	74
26	15	5	66	39	66
2	12	11	43	48	1
12	5	36	80	104	27
8	10	26	101	17	33
12	19	34	76	23	25
16	19	17	89	33	42
17	18	24	22	93	28
2	10	33	18	3	56
6	7	23	27	92	22
27	3	30	5	45	61
28	9	18	112	60	42
27	14	15	95	46	44
18	2	12	23	2	75
16	12	41	43	90	50
1	6	22	19	44	24
16	5	27	41	58	73
10	14	20	103	62	23
7	14	26	4	14	56
8	16	28	106	80	21
27	5	26	88	7	57
21	12	37	70	17	41
12	14	34	38	89	37
24	2	42	83	37	22
13	10	41	8	79	62
7	12	32	27	11	30
26	19	38	36	7	60
25	1	16	37	21	46
21	16	18	102	103	29
10	19	9	102	27	69
8	2	34	92	21	45
3	15	42	15	96	53
18	19	19	57	92	73
14	5	1	15	68	78
19	2	36	71	3	72
16	4	27	2	59	68
4	5	18	50	2	65
24	11	10	81	29	42
7	11	37	100	89	49
7	2	23	49	75	49
22	7	17	79	86	78
18	8	6	10	62	75
19	16	38	25	45	50
21	9	8	66	49	5
15	6	38	6	103	41
24	16	29	7	12	51
15	11	14	91	13	11
27	12	40	66	62	35
27	13	26	72	35	25
5	2	27	81	60	70
27	4	9	97	47	52
2	10	37	53	16	39
4	6	40	93	86	18
4	8	39	4	5	26
22	11	4	49	27	48
10	17	1	101	105	43
17	14	12	3	11	59
6	14	20	16	70	51
7	6	20	73	76	40
8	13	31	5	6	8
14	16	31	43	25	42
9	13	11	61	105	21
20	15	11	1	66	30
16	7	26	113	48	66
9	6	12	35	74	55
3	7	11	27	20	20
2	12	9	81	81	14
23	17	25	87	74	75
13	7	9	68	80	17
21	8	41	89	85	4
13	10	27	90	100	36
18	11	20	66	45	21
10	7	40	6	82	77
14	13	18	97	30	73
24	14	22	30	91	27
17	7	37	18	51	64
13	9	13	20	70	67
3	17	15	109	89	11
13	13	21	87	38	21
15	4	1	66	59	67
16	13	1	32	83	36
9	1	31	88	43	12
6	18	6	98	2	19
6	15	42	95	28	15
19	6	2	85	57	20
17	17	39	104	58	23
9	3	32	110	81	9
13	1	12	12	93	8
20	10	12	94	62	10
17	15	7	52	2	10
6	12	37	64	7	76
23	14	13	21	65	13
19	1	41	15	60	60
16	15	41	26	52	27
28	14	8	69	10	35
4	13	22	67	103	71
22	16	30	110	37	18
21	10	10	57	102	33
6	1	6	14	36	12
18	12	14	71	15	52
19	14	22	100	23	31
25	14	30	74	63	35
10	9	21	30	50	35
12	14	10	67	30	21
1	16	19	113	98	64
4	12	29	47	30	62
7	9	15	63	94	74
11	6	41	66	19	26
26	18	18	85	11	7
15	2	35	108	44	8
7	12	42	80	4	30
23	13	1	53	90	57
7	8	38	4	29	73
9	8	13	50	60	35
1	4	34	100	94	23
16	3	37	77	69	75
4	16	12	5	63	24
7	19	23	39	8	18
2	9	26	2	91	13
14	14	36	25	11	20
20	2	41	27	87	69
17	18	15	93	91	72
21	14	23	39	7	21
17	7	30	10	100	5
19	15	29	23	27	24
4	16	25	13	15	70
26	6	22	4	65	18
16	4	1	82	66	27
27	3	5	85	52	70
7	19	43	71	67	13
15	2	31	9	78	19
2	18	36	30	46	5
5	5	27	75	80	26
6	10	29	109	98	7
28	19	7	108	19	36
22	17	30	87	46	30
14	7	28	47	27	14
23	13	40	93	63	7
25	11	16	66	67	14
18	14	8	19	30	18
6	8	21	50	4	72
13	19	13	81	22	23
28	7	41	26	11	73
7	16	2	3	2	35
1	6	9	35	35	43
20	17	34	23	64	2
20	17	20	88	29	52
28	9	5	92	99	35
6	8	22	8	54	69
22	13	38	11	60	13
17	5	14	14	4	53
5	6	8	82	45	52
7	18	7	79	64	30
22	8	10	47	32	10
21	16	4	113	35	14
19	4	12	18	36	17
4	4	21	98	79	60
16	10	34	44	1	58
21	5	30	113	53	43
20	6	9	75	98	54
16	5	2	15	11	10
18	14	42	100	14	58
20	10	13	96	20	13
23	18	34	36	100	2
3	1	40	39	3	14
7	16	35	66	47	40
2	19	8	70	36	30
22	4	36	75	83	70
27	9	9	41	67	40
18	11	24	89	35	18
8	5	13	74	10	40
24	14	28	49	22	3
9	8	41	64	63	2
26	18	29	20	34	3
10	10	25	34	19	10
1	11	15	102	12	62
23	14	24	11	23	27
24	1	29	19	21	2
15	16	2	93	12	13
18	15	17	4	93	10
10	5	36	96	5	3
6	6	20	40	55	13
24	19	33	98	20	52
6	6	7	77	26	9
18	17	1	50	44	10
24	6	17	33	82	21
28	10	36	35	22	11
9	14	38	21	91	8
2	11	18	48	47	14
22	3	25	66	36	27
14	14	6	26	45	18
28	13	33	46	77	40
16	4	17	99	37	40
4	4	32	90	9	18
26	7	12	30	104	30
18	15	40	101	81	3
15	6	38	30	15	9
16	2	37	30	94	3
2	16	14	95	42	10
9	2	38	15	34	18
13	7	10	88	12	30
17	3	7	67	17	10
5	7	24	30	1	64
18	6	19	6	64	55
9	7	41	36	10	7
27	8	5	13	27	11
20	9	30	38	48	9
19	11	43	7	37	3
25	10	33	22	94	30
20	3	34	83	55	30
28	18	38	56	61	10
5	18	23	16	53	69
28	15	12	56	25	11
12	17	29	16	65	30
13	7	25	19	37	37
7	17	8	21	1	32
8	18	14	72	66	65
10	10	12	11	52	11
2	5	6	7	102	30
18	3	31	42	76	52
28	14	36	16	16	52
18	12	31	79	26	52
13	16	43	86	63	52
24	11	37	32	65	11
15	19	35	28	51	52
2	15	15	50	79	4
7	4	25	111	58	52
22	16	18	86	69	24
18	9	43	75	48	19
1	7	28	78	81	73
24	6	7	113	32	52
13	19	22	72	24	58
22	14	10	36	99	50
25	6	24	71	78	43
2	19	24	16	36	15
5	10	16	69	36	16
1	14	38	84	20	42
10	8	37	28	55	16
8	17	22	37	1	5
24	14	29	82	50	12
17	13	29	57	91	70
12	12	32	64	73	51
10	19	37	4	68	15
9	3	26	65	66	55
7	16	24	74	15	13
25	3	34	31	19	5
9	11	18	76	1	66
18	12	15	17	35	72
9	4	42	46	103	22
4	16	23	108	62	53
8	5	29	50	46	40
14	2	32	14	62	52
12	6	1	14	7	38
2	4	10	56	85	57
19	12	27	37	64	53
4	9	41	7	78	47
27	3	27	29	40	42
25	5	23	34	6	75
1	4	26	98	97	29
3	17	3	33	94	6
8	7	7	74	97	25
21	19	26	27	40	59
19	15	19	94	94	38
28	15	34	24	52	78
17	8	28	39	32	24
23	18	30	112	32	2
6	18	21	70	37	6
10	15	25	44	75	47
17	6	40	87	49	4
1	5	24	57	103	17
25	13	23	54	48	33
2	18	42	103	101	49
7	5	23	78	43	45
13	1	37	50	25	3
7	4	19	14	27	50
15	18	19	25	96	70
21	16	32	21	44	22
13	2	8	84	83	28
11	10	8	71	87	64
1	7	22	54	82	13
14	7	26	102	10	56
13	17	30	64	54	59
19	18	7	92	71	48
19	8	25	67	105	67
1	6	11	93	17	76
21	7	11	6	6	42
4	10	36	67	75	23
18	9	36	4	50	36
11	19	2	59	104	22
28	11	28	55	29	4
19	9	40	42	96	63
27	10	43	64	40	67
20	10	38	78	4	34
17	18	14	8	99	61
2	18	12	7	27	33
26	19	8	77	9	65
11	8	17	101	28	45
8	2	42	73	3	18
25	7	30	36	40	74
10	10	3	91	86	20
1	3	38	33	52	62
21	3	26	48	46	33
4	18	8	28	64	24
25	9	21	69	83	62
20	12	24	86	62	3
12	9	9	94	86	75
6	6	21	64	62	36
20	8	22	11	33	2
2	8	27	15	67	8
21	7	37	82	2	47
15	19	43	47	97	75
9	5	42	66	52	44
21	15	23	111	93	9
27	1	16	75	26	66
21	10	18	55	104	49
4	9	40	84	1	33
14	2	42	39	89	10
22	9	11	18	89	55
4	19	27	63	11	27
24	1	2	98	38	42
12	2	39	15	35	51
14	6	16	30	24	34
26	6	4	107	64	11
14	1	2	45	5	46
1	4	9	24	76	23
24	11	2	69	13	13
22	8	43	51	65	35
5	10	19	83	74	13
17	15	35	47	34	71
16	13	42	90	17	7
2	16	41	96	57	50
21	12	5	43	6	61
12	14	39	63	72	43
9	11	24	13	72	41
9	5	10	94	90	49
12	4	4	16	98	56
20	12	11	5	101	43
11	8	28	7	84	32
3	12	23	17	42	43
23	16	33	37	49	13
5	7	19	26	69	77
4	5	4	46	67	62
5	7	9	110	42	6
4	8	36	49	55	14
23	15	15	79	53	72
3	12	39	12	76	2
6	6	1	112	37	46
9	12	15	21	41	30
7	15	15	37	25	36
5	16	32	71	1	74
6	1	9	14	23	35
4	18	29	75	94	50
13	9	37	37	52	6
11	8	12	27	13	51
25	18	33	74	68	45
15	1	23	107	35	31
4	6	27	107	17	49
11	9	43	60	81	44
11	2	19	16	48	34
3	13	1	8	34	68
14	1	5	111	18	3
6	6	13	86	71	69
16	8	32	3	49	32
14	9	22	35	6	45
2	19	23	24	51	77
11	2	42	68	29	60
9	12	35	112	18	53
12	15	40	62	20	45
13	12	28	91	46	29
19	12	15	67	47	55
13	6	11	68	3	74
23	17	38	44	57	74
15	19	34	52	9	63
22	17	9	33	59	1
17	16	35	96	49	68
2	7	23	13	90	69
11	16	31	109	87	43
23	17	25	110	12	74
8	17	1	39	62	50
14	16	43	20	77	41
5	8	14	99	79	6
6	12	21	44	101	7
8	14	36	3	61	72
27	12	5	33	100	54
24	10	32	11	13	14
28	9	13	11	24	63
2	9	36	55	62	42
21	14	33	83	42	11
10	15	26	57	31	35
13	14	6	55	60	34
21	9	19	47	44	3
1	18	13	8	9	54
26	13	22	68	59	39
21	1	16	40	104	7
12	8	25	100	53	39
26	19	27	80	74	69
28	8	28	64	2	26
8	13	22	89	25	63
17	10	18	11	96	43
27	3	32	88	46	26
2	6	34	59	47	46
5	1	22	101	9	11
5	13	21	52	15	31
14	11	12	84	60	3
17	16	5	36	13	39
6	13	18	52	100	61
25	11	3	36	4	42
12	18	11	2	5	12
3	10	41	60	55	12
18	15	20	83	33	76
25	11	31	97	48	68
22	11	1	77	23	66
13	14	23	75	105	61
14	19	2	73	24	31
12	9	7	98	15	26
20	1	32	31	2	54
24	3	34	51	59	33
8	18	23	50	34	76
7	1	31	14	102	39
17	7	20	100	20	33
5	10	29	76	103	68
18	10	41	75	7	32
26	1	4	95	33	46
21	15	2	83	53	6
2	9	22	70	81	69
11	6	13	28	74	2
26	2	34	48	95	76
26	19	19	72	93	46
12	13	1	67	99	72
13	7	1	2	71	76
26	14	1	46	21	26
6	9	40	80	102	14
2	15	19	84	43	51
28	9	41	81	2	11
22	12	38	74	23	33
20	19	27	64	48	46
8	4	15	11	95	6
12	12	29	86	81	1
4	16	5	78	53	63
18	11	22	55	78	1
15	16	27	50	68	7
17	2	42	7	49	69
14	7	27	48	78	12
16	1	4	72	55	39
1	10	10	72	36	32
16	9	32	22	62	32
19	15	2	74	65	51
9	13	15	71	33	35
11	9	10	49	91	7
14	2	4	47	52	66
