width	height	diameter	season	manufacturer
77	29	18	4	46
64	30	29	4	33
105	40	23	1	57
14	11	12	2	107
126	7	38	3	36
142	13	36	1	106
89	1	29	2	197
17	30	18	3	94
64	6	1	2	2
59	17	22	4	145
86	28	27	3	74
136	2	2	1	199
13	10	35	2	54
141	33	9	1	163
44	34	30	3	113
75	30	25	1	63
145	5	1	3	171
148	36	23	4	8
60	36	15	4	84
67	39	38	4	88
50	23	14	1	1
42	9	32	4	41
24	4	19	1	154
87	18	35	1	23
14	11	24	4	115
4	17	26	1	88
84	4	3	3	2
44	25	3	3	95
15	23	17	3	169
118	27	5	1	70
108	38	18	2	56
115	38	9	3	33
80	38	26	4	139
87	21	36	2	80
136	6	20	3	164
88	6	22	1	64
123	35	40	2	56
121	31	36	2	126
147	12	35	2	99
71	3	37	1	103
142	39	6	4	165
8	19	26	2	14
65	40	26	4	174
18	5	4	2	165
117	2	16	4	115
144	22	34	2	127
87	33	4	1	76
38	10	15	2	94
107	40	34	3	101
124	19	15	3	58
144	29	21	2	50
79	27	3	4	102
25	17	29	2	175
150	20	31	4	92
67	5	38	4	71
89	15	39	4	84
131	21	21	4	11
65	32	1	4	114
121	5	34	4	197
39	37	35	3	96
60	12	30	3	63
139	32	24	1	52
92	40	15	3	58
97	41	39	1	51
1	23	29	2	94
64	28	38	2	64
104	4	40	4	78
90	24	2	1	55
142	12	19	1	138
84	31	2	4	103
4	24	12	4	160
54	24	39	3	200
57	11	7	3	25
39	3	6	3	100
66	30	27	3	67
17	12	8	2	1
25	4	36	3	47
130	41	6	3	152
135	6	41	4	68
141	30	22	4	116
48	29	7	3	122
33	41	12	4	43
127	30	3	1	102
13	25	39	3	37
18	33	37	2	85
10	24	31	3	59
149	34	38	3	161
133	27	13	4	25
74	13	35	4	10
36	12	28	2	23
61	26	25	3	136
39	2	2	1	167
149	31	7	2	168
28	29	13	1	164
134	19	16	4	78
115	13	15	2	97
43	3	40	2	100
29	32	31	4	35
101	20	33	1	113
143	39	34	1	55
26	11	30	4	101
42	18	30	1	85
100	25	24	2	65
27	19	16	2	86
89	7	20	2	68
128	12	39	4	59
118	31	14	2	86
102	30	6	4	95
145	12	3	1	4
26	15	11	1	86
59	19	11	1	109
71	12	29	4	82
29	33	27	4	24
108	40	27	2	90
142	12	22	2	177
40	7	7	3	84
114	8	11	2	202
134	26	30	4	107
79	40	25	2	114
38	35	19	1	171
37	14	19	3	30
123	28	31	4	115
20	21	31	4	5
79	14	33	2	72
70	38	15	2	129
37	2	30	3	13
89	31	37	1	117
71	17	13	4	40
54	4	7	2	108
3	38	9	2	148
118	25	26	2	5
4	30	27	1	17
59	32	9	3	186
6	19	37	4	95
13	37	26	3	136
69	12	32	4	20
20	12	16	3	134
20	9	10	1	42
35	8	16	1	149
89	10	1	3	107
54	4	36	4	175
20	23	21	1	19
34	34	39	4	196
129	25	27	3	89
8	24	36	3	24
136	9	22	4	29
53	21	21	2	107
56	4	17	2	136
38	31	20	3	82
33	3	21	4	205
8	1	6	1	18
124	11	14	1	102
60	28	7	1	81
42	36	29	2	160
37	1	2	4	41
127	17	17	1	73
138	6	15	2	125
136	5	10	4	98
28	8	11	4	89
121	14	13	4	42
5	16	34	3	32
41	15	15	4	109
82	17	5	4	88
46	39	38	4	32
146	20	20	1	206
136	40	13	1	134
26	7	12	3	200
49	8	28	2	95
94	14	8	2	131
41	2	36	4	72
6	31	28	4	145
39	2	16	1	84
143	13	25	4	159
49	12	36	1	92
1	1	33	1	54
79	39	31	1	26
37	2	19	3	108
122	37	40	1	94
102	21	27	1	66
5	10	20	4	67
5	34	39	3	37
9	9	10	2	100
9	29	16	4	63
136	16	22	1	102
145	41	26	4	173
9	26	18	1	191
70	22	22	1	17
25	34	10	4	159
65	32	23	1	162
123	40	35	4	1
41	6	3	2	188
119	30	3	2	163
55	19	22	3	91
77	17	8	1	101
44	33	41	1	88
111	31	1	1	50
135	5	8	4	16
121	29	26	4	55
115	35	39	2	51
140	29	2	3	79
4	28	22	4	132
138	1	8	1	24
104	9	10	3	82
32	40	36	1	138
87	5	26	4	157
20	39	16	1	23
139	26	22	3	161
84	5	37	1	202
75	30	19	1	82
27	27	28	3	98
71	18	38	2	165
133	3	31	1	61
134	2	4	1	53
80	14	40	3	50
97	12	33	3	64
4	20	24	4	74
118	30	3	2	185
26	34	11	4	142
32	33	19	4	76
50	4	41	2	187
8	13	32	1	145
150	19	29	1	161
56	11	36	1	53
114	3	38	4	180
147	5	19	3	33
119	29	22	1	99
88	5	20	2	38
81	29	2	3	58
51	9	4	1	27
133	6	27	3	157
24	7	29	4	31
54	34	12	3	154
109	21	33	3	67
77	31	20	1	28
20	36	32	4	87
101	14	2	3	22
43	40	28	2	40
70	30	24	4	176
99	3	16	1	28
22	36	31	3	103
44	33	24	1	14
67	38	9	3	104
118	22	19	3	92
78	3	17	3	177
40	29	7	4	26
85	22	21	1	44
101	33	10	2	84
27	7	25	2	97
63	24	18	4	46
21	11	6	4	163
123	6	16	2	46
44	11	16	4	191
103	29	21	2	9
147	16	1	4	113
82	2	36	2	3
140	22	8	3	109
81	2	10	3	69
111	22	15	2	56
25	16	19	2	5
89	27	6	2	4
85	37	5	4	42
29	38	26	4	127
12	19	37	4	104
143	20	15	1	128
98	19	8	2	194
90	7	5	4	92
121	5	37	4	37
131	26	34	4	16
1	6	23	2	84
106	3	3	2	89
28	32	14	3	51
62	38	31	1	66
93	39	34	1	74
47	32	35	4	106
88	4	32	3	97
150	34	13	4	106
49	18	36	3	150
119	34	17	1	167
75	21	16	1	184
140	29	32	2	90
5	23	23	1	5
26	13	5	3	37
134	28	18	3	2
75	15	22	4	107
124	5	17	1	67
107	31	5	1	192
121	23	21	4	21
126	13	8	2	106
32	18	3	4	154
64	35	11	2	76
84	2	32	4	67
41	33	24	1	25
121	29	25	2	64
15	36	2	4	72
31	11	8	3	41
68	22	26	3	88
11	32	10	4	132
120	28	3	4	35
111	7	10	1	193
122	5	9	1	45
17	9	16	3	96
148	38	37	2	123
6	2	31	3	82
15	6	17	3	5
6	34	17	2	109
106	28	9	1	166
35	20	36	4	66
28	17	32	1	194
73	1	19	2	94
112	20	19	1	24
19	31	41	3	102
59	11	12	1	147
72	16	36	2	101
12	3	4	4	31
74	5	24	1	62
130	32	6	3	120
71	6	22	4	168
65	32	25	2	37
114	35	13	1	136
47	3	7	3	101
78	16	16	2	98
37	24	13	3	47
38	21	31	1	73
135	7	16	4	171
93	26	4	1	135
114	12	7	4	157
147	37	19	3	91
99	39	30	3	15
15	9	30	4	139
120	2	21	1	83
19	35	4	1	149
92	2	24	1	80
145	8	35	3	82
1	19	38	2	113
104	25	34	4	116
65	41	17	4	63
82	39	9	1	18
55	34	40	4	26
129	16	36	4	32
24	38	18	2	121
66	31	7	1	30
46	5	23	4	66
76	13	40	4	106
45	4	12	4	129
107	29	38	1	7
88	14	36	2	33
61	19	31	4	197
124	25	37	2	22
102	23	1	4	143
148	36	37	4	32
39	36	14	2	155
83	40	32	1	103
147	6	28	4	97
10	4	25	3	61
46	29	8	3	64
106	7	6	2	24
22	27	35	1	76
19	6	10	3	167
7	19	6	3	68
113	8	10	4	97
111	11	2	1	30
57	14	26	3	51
80	1	22	2	32
71	19	27	2	143
9	26	8	1	106
41	29	30	3	63
40	13	5	2	166
25	13	13	3	82
90	41	35	2	91
119	21	26	4	74
25	29	40	4	174
92	20	8	1	44
148	12	32	2	152
127	22	26	3	133
67	11	8	4	205
145	32	11	4	104
41	2	31	1	198
53	6	36	3	160
15	18	34	2	123
85	35	9	3	38
87	1	25	3	111
20	12	38	1	32
43	21	27	4	65
148	41	39	3	94
4	1	12	2	43
74	28	22	2	101
15	8	25	1	22
75	35	20	3	46
150	33	37	2	200
44	25	20	1	84
50	30	26	3	80
31	20	39	3	86
100	27	41	3	72
6	10	35	4	9
150	1	37	2	115
86	4	12	4	72
32	6	12	3	157
56	1	28	3	116
4	14	13	2	16
102	13	18	3	174
8	19	7	3	1
114	37	33	2	149
130	38	4	2	158
10	25	28	2	103
138	27	8	4	61
29	16	3	1	179
66	1	13	4	151
137	27	33	3	100
126	28	31	4	76
87	28	31	2	148
109	19	40	3	111
45	16	41	1	37
50	25	31	3	58
27	10	31	4	204
26	9	4	2	159
98	36	41	1	27
146	6	29	1	78
122	7	41	3	41
149	26	25	3	63
38	7	17	4	121
88	8	5	2	181
10	36	19	4	68
87	40	30	1	87
48	23	19	2	95
125	24	33	2	65
23	2	32	2	141
101	31	9	4	110
25	35	41	1	120
15	39	33	2	44
84	27	33	2	62
143	41	18	4	98
124	13	1	2	156
86	16	27	1	112
17	40	8	4	112
36	10	35	3	46
60	3	20	4	196
83	24	4	4	11
112	22	32	4	34
82	30	5	1	4
63	11	26	4	89
44	24	39	1	110
70	35	9	4	77
132	20	18	1	201
18	21	35	1	4
47	13	22	3	90
8	13	29	1	146
122	11	35	1	18
63	2	13	1	74
54	13	41	3	14
35	28	7	2	97
46	13	12	1	69
105	18	11	2	148
93	37	6	4	8
110	33	18	1	127
3	41	16	2	150
5	20	18	3	48
82	39	15	2	92
13	34	36	3	201
70	4	20	1	184
130	5	3	4	105
110	5	11	2	173
62	2	40	4	140
79	28	9	4	120
29	16	18	3	102
120	41	39	1	128
147	5	25	4	198
42	18	2	1	55
45	20	37	2	195
35	27	22	3	61
98	11	29	4	62
144	31	5	3	43
114	35	37	1	66
3	23	29	3	10
73	9	32	2	29
14	22	15	3	66
35	30	20	1	6
100	28	6	4	105
85	12	9	2	197
73	25	41	4	82
102	3	18	2	91
79	32	21	1	28
95	9	23	1	107
30	32	39	4	92
23	9	13	4	150
1	3	6	2	171
2	11	40	1	3
32	22	10	1	28
119	35	35	1	97
127	18	10	1	156
64	31	38	2	146
65	22	24	3	173
118	30	7	1	80
27	12	10	3	82
143	20	30	2	100
107	40	39	3	120
16	21	32	3	109
104	37	8	1	95
31	13	22	1	55
68	13	41	3	55
105	4	17	2	19
58	4	30	4	10
40	13	31	1	39
38	3	36	2	70
117	9	4	1	73
32	39	31	2	186
63	3	7	1	41
39	3	16	1	70
142	3	37	3	10
132	3	6	2	64
55	1	1	3	5
81	9	13	2	73
82	1	7	4	194
91	30	38	4	47
108	17	7	3	32
19	32	11	1	9
87	2	33	4	117
128	36	23	2	164
147	39	34	4	6
146	39	40	3	75
73	35	17	4	177
144	13	10	2	180
125	18	32	3	74
27	40	10	2	187
128	11	26	4	81
46	3	5	4	109
128	38	26	3	115
65	15	15	4	5
72	8	1	4	170
93	41	6	3	83
34	8	27	4	62
89	20	26	1	20
59	31	9	1	3
110	33	33	3	24
150	6	24	2	100
130	26	39	3	103
117	2	1	3	186
2	17	35	1	66
131	4	37	2	40
91	41	23	3	107
106	22	31	3	60
68	16	12	1	95
131	4	15	2	176
91	1	40	4	35
65	32	23	4	179
37	1	21	2	130
135	10	39	4	181
27	15	38	2	192
73	27	29	2	58
93	31	2	2	53
95	25	37	3	188
64	35	40	4	145
28	29	10	4	137
59	26	41	3	92
95	37	24	4	61
19	32	8	3	75
144	6	11	3	189
113	37	5	4	28
95	32	24	4	71
135	31	38	3	27
123	2	2	1	68
7	39	13	2	202
136	24	9	3	201
77	11	10	4	105
44	19	37	1	58
129	37	16	1	46
117	18	21	2	46
103	39	34	1	65
33	41	3	3	101
56	33	17	2	105
93	25	29	3	70
116	20	19	2	47
71	7	35	1	115
1	20	16	1	66
3	26	25	3	83
17	18	6	4	90
43	15	15	4	61
104	15	17	1	138
61	21	36	3	16
147	2	10	2	23
24	22	1	2	127
108	31	38	2	99
56	30	34	2	24
122	1	6	1	63
123	20	14	1	13
143	32	4	3	108
100	12	22	1	142
48	32	16	2	147
86	36	24	1	161
42	36	1	1	196
112	9	25	2	82
151	7	19	3	38
79	12	8	1	70
86	11	2	2	54
94	1	8	4	90
111	28	13	2	88
120	23	25	4	69
20	9	25	3	120
76	5	19	3	16
95	36	35	1	104
110	3	15	4	40
126	37	31	4	161
52	27	19	4	66
83	9	5	1	94
68	20	2	2	204
147	34	17	1	94
70	21	33	3	136
25	38	3	3	149
90	39	17	2	168
134	36	15	2	79
108	35	26	1	76
51	4	26	4	116
68	26	18	3	4
131	18	4	3	128
56	7	14	2	91
67	4	31	1	127
41	9	1	1	43
91	33	4	1	10
5	26	13	1	45
31	1	18	4	71
129	27	10	3	24
107	20	18	2	81
86	21	10	2	62
50	6	37	1	51
147	29	23	1	115
122	22	4	1	43
113	39	12	1	196
137	39	39	1	66
26	28	31	1	116
90	11	35	4	19
1	20	14	2	77
106	18	27	4	193
102	35	8	4	83
2	3	27	1	68
11	1	1	2	54
51	1	19	2	187
99	6	4	2	24
39	26	24	4	71
149	26	22	2	88
94	27	28	1	115
36	7	40	3	109
19	39	32	3	21
129	32	26	3	188
60	10	17	2	25
87	16	12	1	68
147	24	33	4	51
138	36	41	1	109
106	26	17	2	15
75	38	35	3	51
33	41	36	3	89
121	4	38	1	77
39	17	29	4	24
109	11	14	3	192
85	5	20	3	191
31	30	6	1	79
84	37	19	4	48
145	17	37	1	103
117	33	12	3	171
44	39	37	2	183
126	21	12	4	21
134	36	23	4	138
122	24	41	4	103
25	10	23	3	1
60	19	36	3	102
14	31	37	2	93
125	12	37	4	180
85	24	10	4	89
76	32	27	3	82
76	23	26	3	2
51	38	36	4	44
147	18	17	2	175
39	15	30	1	183
127	7	15	4	88
130	29	32	2	160
141	30	3	2	43
113	6	8	2	91
15	18	34	3	16
112	33	3	3	39
9	35	22	2	157
50	5	18	4	77
116	16	2	3	104
45	6	29	4	54
78	4	7	4	37
78	4	34	3	89
138	23	10	2	84
14	40	22	4	102
134	39	23	2	203
51	30	23	4	56
24	41	40	3	75
30	34	22	2	5
49	35	40	1	23
25	33	1	2	18
67	11	9	4	145
137	15	28	1	60
24	4	10	3	61
132	36	14	4	19
63	5	32	3	29
41	13	4	4	115
136	22	34	2	184
59	19	1	3	100
124	15	25	2	141
140	5	14	4	21
99	35	10	1	1
33	16	8	1	71
33	3	39	2	27
59	18	39	4	38
50	39	1	3	73
95	20	41	4	96
45	28	12	4	25
139	32	26	4	129
22	7	20	1	95
106	10	3	2	104
64	18	4	4	100
79	7	20	1	84
118	18	39	1	187
63	15	8	3	28
57	15	40	1	96
104	16	9	2	188
60	2	7	4	205
127	29	9	2	174
131	39	6	3	116
101	5	18	4	23
70	28	27	4	111
61	2	26	3	114
126	25	39	1	96
136	17	20	1	99
135	10	11	1	106
7	12	16	1	100
100	40	17	2	156
10	1	34	3	109
2	38	15	4	49
46	20	31	3	61
67	13	4	2	24
90	40	1	1	89
83	17	19	1	88
73	20	21	1	56
42	24	22	4	79
135	4	20	2	190
85	4	34	4	85
59	39	11	2	31
129	23	26	4	113
61	23	19	4	173
79	25	11	4	170
27	6	32	3	61
151	14	14	1	72
29	34	40	2	42
62	20	27	2	72
104	27	13	1	5
13	11	22	2	81
111	4	23	4	120
45	25	31	3	1
107	5	37	1	112
127	35	4	4	183
85	1	33	3	48
112	40	33	3	70
86	12	23	2	93
77	27	18	1	51
150	25	32	2	190
114	40	16	1	45
93	17	10	4	64
142	36	22	2	170
36	19	4	2	164
140	23	23	4	50
138	36	16	4	50
7	9	9	1	99
32	10	39	4	129
52	5	24	3	196
79	21	21	2	91
149	13	5	1	77
19	2	30	4	161
115	39	6	1	22
134	12	32	2	185
128	29	19	2	156
102	7	18	1	151
14	14	8	3	116
55	10	30	1	203
61	1	3	4	89
9	28	35	1	153
141	30	23	1	47
47	9	40	3	195
85	39	37	3	111
101	26	19	2	194
69	7	28	4	90
69	12	6	3	89
61	22	6	2	117
36	27	9	3	115
3	17	41	4	42
47	26	31	2	143
30	33	21	3	35
29	23	36	2	187
89	15	8	2	79
62	2	26	2	98
13	39	8	4	157
139	18	5	3	84
11	7	5	3	110
138	14	29	2	51
93	28	7	4	38
137	27	33	2	129
3	7	31	2	60
47	21	37	4	84
32	33	17	1	43
19	33	7	3	2
99	29	31	2	125
94	41	28	3	4
7	21	27	1	40
73	9	31	2	47
38	12	9	4	10
98	20	37	4	41
147	13	31	1	190
88	20	39	4	39
60	12	23	4	14
75	14	4	1	129
91	18	32	1	104
89	14	20	3	163
109	2	10	4	166
108	35	19	3	49
70	38	11	4	3
77	8	19	3	1
22	10	37	4	119
94	22	5	3	67
37	1	13	3	36
44	17	29	4	44
105	5	12	3	91
63	13	4	3	173
67	28	29	1	45
107	11	4	3	161
37	1	24	3	147
124	6	38	2	114
132	21	22	2	181
15	35	29	4	29
67	13	17	1	139
136	8	4	3	109
77	10	7	1	54
38	3	24	3	64
32	18	27	2	173
110	25	33	3	146
46	37	16	4	45
23	8	18	3	19
139	23	19	1	103
11	23	29	4	25
33	13	10	2	197
33	34	18	1	170
100	10	20	4	129
19	6	22	2	62
59	32	39	3	116
102	2	18	2	190
146	32	21	1	190
99	3	27	4	124
22	33	27	1	121
39	33	32	3	79
132	40	21	2	8
149	7	22	3	112
132	5	20	2	96
86	17	30	2	119
56	38	10	3	158
127	1	22	4	96
52	10	25	1	71
27	13	1	3	166
83	33	6	4	15
121	29	8	2	34
107	1	37	4	44
109	23	12	3	51
76	8	6	1	48
115	21	23	1	105
35	15	2	2	51
132	1	39	3	44
102	18	14	1	82
59	35	41	3	72
87	15	36	2	104
60	12	6	4	108
101	19	20	2	69
134	22	10	3	45
92	11	5	1	67
4	1	6	2	165
33	34	23	4	83
15	39	23	4	38
45	18	6	4	94
27	5	5	1	103
11	28	6	3	65
22	31	3	3	153
118	38	35	1	111
89	38	11	3	8
52	27	30	2	69
66	15	6	2	155
137	9	31	2	4
17	31	22	4	67
34	16	21	2	70
35	13	41	4	62
95	37	39	2	93
65	23	21	3	176
23	32	1	3	96
115	5	40	1	107
83	41	27	2	27
125	12	37	2	124
86	35	20	2	123
46	28	12	4	102
50	12	39	1	174
113	40	2	1	13
17	19	37	3	196
129	9	19	3	21
113	15	6	3	12
51	2	26	3	83
97	13	15	1	75
36	30	15	4	188
127	4	30	1	86
104	30	40	3	35
114	25	11	4	196
110	40	29	2	55
91	36	5	4	21
78	25	18	3	104
88	17	38	3	70
11	28	34	2	88
66	24	19	2	52
26	28	31	2	88
66	8	7	3	176
86	20	27	3	75
20	34	27	1	155
132	38	17	2	6
117	7	11	1	139
150	6	5	4	87
27	7	36	2	65
63	8	40	3	37
11	22	9	2	11
99	18	40	3	33
146	1	7	2	37
8	30	6	4	182
12	12	28	2	118
11	7	11	2	107
148	22	30	4	99
83	32	18	3	156
27	33	28	1	72
93	17	18	1	50
144	17	11	1	96
83	5	39	1	116
106	2	14	3	120
3	12	39	1	102
115	39	40	2	84
146	19	29	3	79
75	38	7	1	117
134	28	12	3	109
66	35	18	3	35
36	14	7	3	154
127	36	39	2	84
48	39	20	4	82
110	28	21	3	9
129	18	16	2	83
138	41	15	2	25
33	23	16	1	91
128	40	6	3	56
139	2	7	3	184
37	4	11	4	27
108	15	32	3	93
70	15	17	3	125
137	12	10	1	64
29	24	36	2	99
40	3	8	4	63
44	37	21	1	27
139	9	8	3	36
125	21	1	2	103
124	37	28	2	112
82	14	36	3	191
15	31	17	3	173
56	21	28	1	128
38	14	30	2	141
31	32	2	4	15
95	2	39	4	159
4	19	28	2	203
56	17	13	3	23
4	9	31	2	77
2	29	9	2	114
91	18	37	1	80
137	30	18	4	117
31	38	37	3	75
76	19	4	3	29
118	18	24	3	110
13	4	32	2	111
17	5	14	4	105
104	34	40	3	105
98	6	33	2	181
127	34	6	4	110
37	18	15	3	143
49	26	16	3	125
124	33	41	3	16
138	31	15	1	137
95	21	30	4	28
89	37	26	1	88
59	36	34	2	99
121	39	28	1	74
45	18	19	4	114
20	41	8	2	143
150	5	21	4	120
6	7	1	1	61
64	40	8	4	31
142	41	31	1	155
71	38	19	1	20
108	15	33	3	6
52	3	20	3	94
146	25	37	2	71
24	36	24	2	199
140	1	17	3	66
90	40	13	4	96
6	11	7	1	115
61	3	38	3	33
95	40	12	3	84
79	10	33	2	53
123	26	38	1	127
42	41	25	4	146
120	7	37	3	175
44	17	10	1	188
5	3	21	2	107
64	27	12	4	66
38	14	32	3	61
84	40	29	3	182
141	21	35	4	196
17	17	29	4	111
2	5	3	4	148
89	33	27	4	149
133	36	36	1	112
132	12	22	4	67
105	8	18	3	123
9	23	7	3	164
27	25	13	3	64
86	7	10	3	21
45	23	31	4	110
4	7	25	1	79
54	24	11	1	139
131	41	23	1	46
120	18	39	3	43
119	35	38	1	101
125	10	34	2	53
65	19	11	2	80
129	36	14	3	110
136	17	40	3	187
151	2	9	3	63
142	7	40	3	123
40	18	6	3	168
103	29	35	4	156
146	20	21	4	111
145	13	26	4	94
118	5	18	4	57
93	26	14	2	93
51	4	20	1	195
126	22	41	3	8
92	38	29	4	184
46	27	29	2	55
123	7	20	2	36
122	27	19	3	31
32	8	3	3	68
37	1	39	2	55
140	11	37	4	88
78	19	16	4	10
135	8	16	3	115
123	31	9	2	84
25	15	25	3	35
54	30	26	2	120
47	19	10	1	51
28	22	11	4	135
82	34	32	1	111
118	38	23	1	2
14	29	21	4	62
63	32	7	1	35
34	36	28	3	23
119	16	18	1	2
145	34	21	4	17
99	40	29	1	100
51	25	9	4	21
9	12	9	3	137
46	18	8	4	63
67	10	6	1	51
91	5	3	1	55
55	13	41	4	64
77	22	11	1	116
38	13	39	1	107
24	8	37	3	134
65	36	25	1	26
47	22	34	3	75
20	14	36	2	39
121	7	14	3	162
41	20	32	3	203
79	6	35	4	92
92	4	7	3	51
78	3	10	2	114
106	24	5	1	19
13	26	7	3	8
43	13	17	2	48
140	20	18	4	139
84	39	34	4	38
49	33	2	4	4
106	3	41	1	37
128	24	35	4	112
26	38	32	3	93
6	33	20	3	34
130	5	25	4	93
54	36	8	2	27
81	11	37	1	111
61	35	30	2	5
23	4	5	4	189
111	8	4	2	55
77	14	25	2	81
143	24	39	2	154
8	33	41	2	68
73	32	8	3	32
139	31	28	1	34
79	22	2	3	66
120	23	41	3	147
116	9	40	4	33
144	26	35	1	80
149	40	19	1	102
82	37	9	3	42
80	5	2	3	60
34	13	32	1	88
97	18	10	1	162
110	26	1	3	116
5	22	17	4	194
109	14	16	2	178
111	6	18	2	155
119	18	18	2	31
118	28	19	2	17
1	17	35	4	58
88	12	22	2	47
147	25	29	2	71
7	29	26	2	110
2	9	33	4	67
18	17	21	2	81
36	22	9	4	130
118	11	28	4	152
50	20	39	1	44
78	9	18	1	173
92	30	1	1	198
111	2	31	4	6
23	34	7	3	192
14	2	8	4	205
108	30	33	4	5
71	7	12	2	94
145	35	6	4	115
43	17	14	4	134
24	20	20	1	108
150	8	6	3	101
77	7	17	3	2
42	29	35	1	203
36	9	30	2	43
26	14	29	1	178
62	12	26	2	195
33	8	4	2	108
104	6	7	2	85
26	12	23	2	154
42	32	30	3	150
59	20	10	1	164
31	10	18	4	22
40	8	22	4	7
28	24	28	1	87
55	20	20	2	163
129	20	14	4	71
23	17	25	2	157
2	13	31	3	177
55	39	10	3	145
17	41	18	4	109
31	10	2	2	60
19	26	19	4	97
110	39	25	3	76
91	18	32	2	181
105	10	9	4	44
115	28	6	2	78
142	2	3	2	118
11	10	4	4	5
121	37	37	2	104
146	4	31	2	117
13	30	39	4	61
1	21	38	3	74
23	6	18	4	85
30	28	36	1	50
49	31	24	4	87
141	18	21	2	97
76	14	25	3	109
70	24	31	2	174
52	23	3	4	174
11	22	38	4	153
147	15	27	1	22
53	28	40	2	85
104	2	36	3	17
2	7	31	1	164
43	37	41	3	25
139	40	35	1	173
142	4	34	1	20
71	14	31	1	158
74	3	29	3	54
73	23	1	2	109
86	38	8	1	28
96	22	33	4	57
39	20	9	4	74
121	26	2	3	167
127	28	13	3	99
34	9	16	1	55
64	7	25	2	29
150	41	16	2	50
145	10	7	3	58
33	17	28	3	26
8	8	13	2	110
31	34	7	4	177
110	14	24	4	82
123	40	24	4	171
105	10	17	2	102
135	29	17	3	81
93	41	4	3	73
78	27	4	3	124
120	8	21	1	185
104	12	16	4	47
55	29	3	2	98
51	30	6	3	1
72	32	28	1	27
125	25	1	3	128
136	33	7	3	80
20	30	3	4	66
62	10	1	2	1
142	37	38	2	120
95	19	4	2	80
145	18	37	4	147
136	30	23	2	46
130	10	27	4	97
53	27	6	1	7
87	7	30	4	202
42	1	11	4	114
49	21	4	1	123
147	13	22	3	29
21	10	26	3	7
107	27	8	3	169
143	18	28	1	20
24	37	30	3	17
127	25	4	1	12
62	27	27	1	73
112	13	9	4	101
45	33	4	4	98
61	22	7	4	137
142	11	15	3	141
142	20	20	4	45
1	6	12	4	119
6	2	36	2	71
51	3	4	2	41
133	13	40	3	65
57	23	34	1	205
128	36	25	1	126
120	31	14	4	7
88	39	41	2	3
129	7	18	3	65
118	28	23	3	204
56	14	13	3	93
48	31	15	4	45
54	19	20	1	97
128	24	21	3	198
5	6	5	3	1
65	34	35	2	66
79	40	4	3	58
17	6	15	2	120
131	15	3	4	199
29	33	14	2	97
87	40	20	4	109
146	8	7	4	1
123	8	30	3	74
3	34	5	1	153
93	14	1	1	78
109	24	35	4	158
55	25	31	1	40
77	30	39	2	186
103	2	6	1	68
51	4	38	4	69
67	34	13	1	70
41	6	25	2	117
97	33	37	3	71
82	32	8	1	156
12	33	41	3	74
98	19	1	3	175
62	39	11	2	22
97	26	25	1	124
16	35	23	4	82
131	13	29	1	201
43	25	28	1	94
91	19	7	2	78
30	33	7	3	66
38	35	9	2	159
44	24	39	4	170
65	27	31	1	29
110	12	18	2	12
117	8	33	2	88
124	5	3	1	190
113	2	10	4	182
7	9	27	1	2
134	41	26	3	68
37	13	13	4	141
136	4	9	4	96
87	40	10	1	178
79	14	39	1	126
131	30	14	2	22
101	29	38	1	153
148	18	1	2	105
144	21	40	2	18
42	4	34	4	94
109	35	6	3	16
94	35	25	3	94
107	3	35	1	140
10	32	26	3	204
11	38	11	1	1
130	7	21	4	117
18	10	13	2	107
5	16	38	4	98
21	13	39	2	80
20	19	33	3	14
11	38	17	3	101
137	19	38	1	112
61	36	7	2	196
84	18	26	3	88
35	41	18	2	110
67	9	14	1	69
105	41	16	1	59
8	8	22	1	119
101	12	36	2	102
83	2	40	3	201
2	35	24	4	119
118	1	14	2	177
14	20	25	4	90
54	23	1	3	13
116	35	8	1	113
71	15	8	3	125
119	26	5	1	20
72	10	18	4	30
46	39	12	4	174
109	34	36	4	15
83	7	5	4	160
78	13	14	1	22
104	22	16	1	87
122	16	8	1	13
86	33	37	2	41
47	16	13	1	125
126	16	27	1	41
74	24	18	3	112
61	33	29	1	77
68	30	7	3	175
43	23	13	4	45
20	15	25	1	71
21	16	39	1	82
3	19	7	4	195
137	2	41	1	152
12	37	8	2	90
86	22	16	4	181
58	22	20	3	39
56	25	6	2	114
133	16	26	2	21
62	18	33	4	84
63	35	36	4	103
46	18	13	3	96
70	39	18	2	25
96	35	14	4	161
128	26	39	4	84
12	1	4	4	15
31	4	38	3	191
29	20	27	3	83
74	14	39	4	12
133	8	12	1	114
5	3	13	1	53
147	40	1	1	202
111	38	21	2	62
112	3	16	2	126
1	21	33	1	158
151	17	5	3	50
149	16	12	2	57
59	36	14	2	56
115	21	18	3	126
136	1	28	4	42
148	36	11	1	193
126	4	19	1	85
102	27	14	4	13
16	1	8	3	42
129	16	37	4	37
26	25	25	1	82
5	24	35	1	142
125	32	4	2	110
104	18	20	4	57
10	9	18	4	79
2	27	28	1	188
121	15	17	4	69
45	21	40	3	182
27	35	25	1	203
100	8	40	2	25
2	20	41	4	112
54	22	2	1	131
109	11	26	4	17
38	20	41	2	112
63	36	11	1	42
142	41	41	1	114
40	24	33	1	197
135	6	37	1	77
4	28	5	3	190
136	4	1	4	4
110	41	33	1	181
123	5	20	2	19
15	30	23	1	184
33	24	11	4	105
148	17	13	1	29
98	20	17	2	186
109	21	24	1	49
